state,county_state,county_fips_code,urbanicity_2,65_plus_yn,COUNT
NJ,"SUSSEX, NJ",34037,Metro counties,Y,6504
LA,"AVOYELLES, LA",22009,Non-metro counties,Y,2265
MS,"SHARKEY, MS",28125,Non-metro counties,N,85
OK,"HARMON, OK",40057,Non-metro counties,N,694
TX,"CAMERON, TX",48061,Metro counties,Y,3630
KS,"ALLEN, KS",20001,Non-metro counties,Y,846
TX,"SAN MIGUEL, NM",35047,Non-metro counties,N,1
NC,"ROBESON, NC",37155,Non-metro counties,N,45229
CO,"SAN JUAN, CO",08111,Non-metro counties,Y,48
OH,"HOCKING, OH",39073,Metro counties,Y,1268
IN,"MIAMI, IN",18103,Non-metro counties,N,9007
IA,"GREENE, IA",19073,Non-metro counties,N,1036
IL,"GALLATIN, IL",17059,Non-metro counties,Y,340
AR,"PINAL, AZ",04021,Metro counties,N,7
TX,"REEVES, TX",48389,Non-metro counties,Y,354
SD,"ZIEBACH, SD",46137,Non-metro counties,Y,74
KS,"REPUBLIC, KS",20157,Non-metro counties,Y,382
AZ,"COCHISE, AZ",04003,Metro counties,Y,7004
ID,"ONEIDA, ID",16071,Non-metro counties,Y,215
TN,"CLAY, MO",29047,Metro counties,N,1
CA,"BUTTE, CA",06007,Metro counties,N,44192
KY,"BUTLER, KY",21031,Metro counties,N,3882
TX,"FLOYD, TX",48153,Non-metro counties,Y,252
KS,"RILEY, KS",20161,Metro counties,Y,1471
NM,"WASHINGTON, OR",41067,Metro counties,Y,2
WA,"JEFFERSON, WA",53031,Non-metro counties,Y,1190
OH,"SUMMIT, OH",39153,Metro counties,N,119183
AR,"HEMPSTEAD, AR",05057,Non-metro counties,N,4743
UT,"WASATCH, UT",49051,Non-metro counties,Y,1255
TN,"TARRANT, TX",48439,Metro counties,Y,2
TN,"DICKSON, TN",47043,Metro counties,Y,3046
GA,"COOK, IL",17031,Metro counties,Y,2
TN,"SUMNER, TN",47165,Metro counties,Y,9476
TN,"COLUMBIA, PA",42037,Metro counties,N,10
TX,"OCEAN, NJ",34029,Metro counties,N,8
NM,"KERN, CA",06029,Metro counties,N,6
SD,"ZIEBACH, SD",46137,Non-metro counties,N,592
NC,"FRANKLIN, NC",37069,Metro counties,Y,2943
MA,"BARNSTABLE, MA",25001,Metro counties,Y,13133
TX,"FRIO, TX",48163,Non-metro counties,N,7777
OH,"WILLIAMS, OH",39171,Non-metro counties,N,9515
TN,"BRADLEY, TN",47011,Metro counties,N,33603
IA,"GREENE, IA",19073,Non-metro counties,Y,199
MT,"GLACIER, MT",30035,Non-metro counties,Y,570
MT,"HOUSTON, TX",48225,Non-metro counties,Y,2
TN,"COFFEE, TN",47031,Non-metro counties,Y,3367
OK,"OSAGE, OK",40113,Metro counties,N,11613
VA,"GOOCHLAND, VA",51075,Metro counties,N,4434
MS,"COAHOMA, MS",28027,Non-metro counties,Y,63
OK,"PITTSBURG, OK",40121,Non-metro counties,N,11508
MI,"MONROE, MI",26115,Metro counties,Y,7110
NC,"ALLEGHANY, NC",37005,Non-metro counties,N,2966
KS,"CLARK, KS",20025,Non-metro counties,Y,147
MS,"SHARKEY, MS",28125,Non-metro counties,Y,34
AR,"TARRANT, TX",48439,Metro counties,Y,3
AR,"PONTOTOC, MS",28115,Non-metro counties,N,2
IL,"KANE, IL",17089,Metro counties,Y,18928
IN,"SPENCER, IN",18147,Non-metro counties,N,5159
WI,"IOWA, WI",55049,Metro counties,N,5447
NC,"RICHMOND, NC",37153,Non-metro counties,Y,2488
NY,"ONTARIO, NY",36069,Metro counties,Y,4168
GA,"MCCORMICK, SC",45065,Non-metro counties,Y,7
ND,"PEMBINA, ND",38067,Non-metro counties,N,1858
OH,"COSHOCTON, OH",39031,Non-metro counties,Y,1824
CA,"SOLANO, CA",06095,Metro counties,Y,13939
TX,"BOSQUE, TX",48035,Non-metro counties,Y,295
MT,"WASHOE, NV",32031,Metro counties,N,2
MN,"FILLMORE, MN",27045,Metro counties,Y,1145
WA,"SAN JUAN, WA",53055,Non-metro counties,N,1615
