state,county_state,county_fips_code,urbanicity_2,65_plus_yn,COUNT
TX,"JEFFERSON, KY",21111,Metro counties,N,11
TN,"MADISON, TN",47113,Metro counties,N,33059
IA,"CLAY, IA",19041,Non-metro counties,N,2408
VT,"KITSAP, VT",53035,Metro counties,N,1
MD,"WORCESTER, PA",24047,Metro counties,N,1
VT,"LANCASTER, PA",42071,Metro counties,Y,2
IN,"SEVIER, TN",47155,Non-metro counties,N,1
OH,"DARKE, OH",39037,Non-metro counties,N,11760
AL,"BRISTOL, MA",25005,Metro counties,N,1
TN,"HAWKINS, TN",47073,Metro counties,N,17995
TN,"LANCASTER, PA",42071,Metro counties,N,2
AR,"WAUSHARA, WI",55137,Non-metro counties,N,1
ID,"CASSIA, ID",16031,Non-metro counties,Y,985
AL,"DAVIESS, AL",21059,Metro counties,N,2
AR,"BRISTOL, MA",25005,Metro counties,Y,4
AR,"MADISON, TN",47113,Metro counties,N,4
AR,"SHELBY, TN",47157,Metro counties,Y,16
FL,"GLADES, FL",12043,Non-metro counties,Y,249
TX,"DUNKLIN, MO",29069,Non-metro counties,N,1
TN,"PUTNAM, IN",18133,Metro counties,N,1
AR,"DESHA, AR",05041,Non-metro counties,N,3027
TN,"CALDWELL, KY",21033,Non-metro counties,Y,3
OK,"COMANCHE, OK",40031,Metro counties,Y,4204
NM,"LANCASTER, PA",42071,Metro counties,N,1
IN,"BRISTOL, MA",25005,Metro counties,N,1
AR,"ONONDAGA, NY",36067,Metro counties,N,1
MT,"AUGUSTA, VA",51015,Metro counties,Y,1
FL,"FLAGLER, NY",12035,Metro counties,Y,1
TN,TX,,,N,1083
AL,"MULTNOMAH, AL",41051,Metro counties,N,2
KY,"OSAGE, KY",20139,Metro counties,N,1
OH,"DARKE, OH",39037,Non-metro counties,Y,3325
AL,"ALLEN, AL",22003,Non-metro counties,N,1
AR,TX,,,N,279
SC,"CAMP, TX",48063,Non-metro counties,N,1
TX,"COMANCHE, OK",40031,Metro counties,N,27
OK,"COTTON, OK",40033,Metro counties,Y,349
ND,"OLIVER, ND",38065,Metro counties,Y,95
TX,"NATCHITOCHES, LA",22069,Non-metro counties,N,14
IN,"KENT, DE",10001,Metro counties,N,1
KY,"SHELBY, AL",01117,Metro counties,N,1
GA,"MCNAIRY, TN",47109,Non-metro counties,N,2
VA,"AUGUSTA, VA",51015,Metro counties,Y,4054
LA,"JACKSON, LA",22049,Non-metro counties,Y,933
KY,"DAVIESS, IN",21059,Metro counties,Y,1
OH,TX,,,N,8
NM,"ROOSEVELT, NM",35041,Non-metro counties,N,5473
GA,"BIBB, GA",13021,Metro counties,N,30251
TN,"SHELBY, AL",01117,Metro counties,N,7
NC,"GASTON, NC",37071,Metro counties,Y,11918
ND,"RENVILLE, ND",38075,Non-metro counties,N,506
IN,"DEKALB, GA",13089,Metro counties,N,3
MA,TX,,,Y,2
TX,"CAPE MAY, NJ",34009,Metro counties,N,2
PR,"BREVARD, FL",12009,Metro counties,N,1
FL,"LEE, DE",12071,Metro counties,N,1
AL,"MOORE, AL",37125,Non-metro counties,N,3
TX,"COLQUITT, GA",13071,Non-metro counties,N,2
PR,TX,,,N,8
AL,"AUGUSTA, AL",51015,Metro counties,N,2
TN,"FANNIN, GA",13111,Non-metro counties,N,7
GA,"HORRY, SC",45051,Metro counties,N,5
AL,"MADISON, TN",47113,Metro counties,Y,1
IN,"JOHNSON, MS",,,N,1
TX,"ROGER MILLS, OK",40129,Non-metro counties,N,4
AL,"NEWTON, AL",13217,Metro counties,N,4
AL,"HINDS, MS",28049,Metro counties,N,5
FL,"MIAMI-DADE, 0.",12086,Metro counties,Y,1
AL,"DEKALB, GA",13089,Metro counties,N,7
TN,"FLORENCE, WI",55037,Non-metro counties,N,4
AL,"CALCASIEU, AL",22019,Metro counties,N,6
KS,ID,,,N,2
MT,"CLARK, WA",53011,Metro counties,Y,2
NM,"CIMARRON, OK",40025,Non-metro counties,N,3
TX,"STEPHENS, OK",40137,Non-metro counties,N,10
AL,"KINGS, NY",36047,Metro counties,N,5
GA,"MADISON, FL",12079,Non-metro counties,Y,10
TX,"FRANKLIN, KS",20059,Non-metro counties,N,1
AR,"ST. LOUIS, MO",29189,Metro counties,N,16
TN,"BRADLEY, GA",47011,Metro counties,Y,1
NM,"ST. LOUIS, MO",29189,Metro counties,N,1
TN,"MUSKOGEE, OK",40101,Non-metro counties,N,1
AL,"HANOVER, AL",51085,Metro counties,N,2
KY,"WARREN, IL",21227,Metro counties,N,2
IN,"BROWN, NY",18013,Metro counties,N,1
TX,"HAMILTON, OH",48193,Non-metro counties,N,2
TN,"STE. GENEVIEVE, MO",29186,Non-metro counties,N,1
AR,"PROVIDENCE, RI",44007,Metro counties,N,7
TN,"MASON, KY",21161,Non-metro counties,N,1
AR,"CATAWBA, NC",37035,Metro counties,Y,1
TX,"UNION, NM",35059,Non-metro counties,N,4
TN,"GOLDEN VALLEY, MT",30037,Metro counties,Y,1
TN,"UNALLOCATED TENNESSEE, TN",47000,,Y,18
TX,"CAMBRIA, PA",42021,Metro counties,N,3
AR,LA,,,Y,16
PR,"BROWARD, FL",12011,Metro counties,N,2
IN,"CLINTON, TN",,,Y,1
KY,LA,,,N,8
IN,"ALLEN, TX",,,N,19
IN,"STEUBEN, NJ",,,N,1
KY,"FAYETTE, KS",21067,Metro counties,N,3
NM,"MIDDLESEX, NJ",34023,Metro counties,Y,1
VT,"ADDISON, NY",,,N,5
VA,"BALTIMORE, MD",24005,Metro counties,N,1
VT,"CLARK, NV",32003,Metro counties,N,1
SC,NJ,,,N,3
SC,"GRAHAM, NC",37075,Non-metro counties,N,2
AR,"LAUDERDALE, MS",28075,Non-metro counties,N,1
AL,SC,,,N,7
IN,"ST JOSEPH, WV",,,N,1
KS,MN,,,N,21
KY,SC,,,N,10
FL,"PINELLAS, CT",12103,Metro counties,N,1
NM,"MUSKOGEE, OK",40101,Non-metro counties,N,1
GA,"PICKENS, SC",45077,Metro counties,N,2
AL,"MACKINAC, MI",26097,Non-metro counties,N,1
VI,RI,,,N,6
OR,LA,,,N,1
AR,"TOOMBS, GA",13279,Non-metro counties,N,1
IN,"STEUBEN, OK",,,Y,1
IN,"KENDALL, IN",17093,Metro counties,N,1
SC,"HUNTERDON, NJ",34019,Metro counties,N,1
IN,"MARION, OH",18097,Metro counties,N,2
AL,"PARK, CO",08093,Metro counties,N,1
FL,"HILLSBOROUGH, KY",12057,Metro counties,Y,1
TN,"SEVIER, KY",,,Y,2
MT,"FAIRFIELD, OH",39045,Metro counties,Y,1
AL,"BREVARD, FL",12009,Metro counties,N,4
TN,"LEE, AL",51105,Non-metro counties,N,1
AR,"KITSAP, WA",53035,Metro counties,N,2
AR,"HIDALGO, TX",48215,Metro counties,Y,2
AR,"WEST CARROLL PARISH, LA",,,N,3
IN,"ST JOSEPH, TX",,,Y,3
GA,"SUWANNEE, FL",12121,Non-metro counties,N,7
WV,"MORGAN, WV",54065,Non-metro counties,Y,6
TX,"ORANGE, NC",37135,Metro counties,N,4
AL,"MOBILE, MS",01097,Metro counties,Y,1
AL,"FREDERICK, MD",24021,Metro counties,N,2
TX,"OKLAHOMA, OK",40109,Metro counties,Y,1
KY,"WISE, VA",51195,Non-metro counties,Y,3
AL,"HARALSON, GA",13143,Metro counties,N,1
GU,"GUAM, HI",66010,,Y,2
TN,"PINAL, AZ",04021,Metro counties,N,1
MD,"CHESTER, PA",42029,Metro counties,N,2
NM,"LARAMIE, WY",56021,Metro counties,N,4
MT,"LINCOLN, OR",41041,Non-metro counties,N,1
MT,"ST. LOUIS, MO",29189,Metro counties,N,1
KY,"RUSSELL, VA",51167,Non-metro counties,Y,1
TN,"HAMILTON, AL",47065,Metro counties,Y,1
NM,"PULASKI, MO",29169,Non-metro counties,N,1
TN,"WILL, IL",17197,Metro counties,N,2
MT,"DOUGLAS, NV",32005,Non-metro counties,Y,1
KY,"UNALLOCATED FLORIDA, FL",12000,,N,1
FL,"LEE, IA",12071,Metro counties,N,2
AR,"JEFFERSON, MO",29099,Metro counties,N,4
NM,"SANTA CRUZ, AZ",04023,Non-metro counties,N,1
TX,"KAY, OK",40071,Non-metro counties,N,3
NM,"CUMBERLAND, ME",23005,Metro counties,N,1
TX,"HAMBLEN, TN",47063,Metro counties,N,2
TX,"FREDERICK, MD",24021,Metro counties,N,5
AL,"KANAWHA, AL",54039,Metro counties,N,1
IN,"BRONX, NY",36005,Metro counties,N,1
TX,"LIMESTONE, AL",01083,Metro counties,N,9
TX,"LAMAR, MS",28073,Metro counties,Y,1
VT,"ANSON, NC",37007,Non-metro counties,N,1
MD,"FRANKLIN, FL",12037,Non-metro counties,N,1
KS,"MITCHELL, TX",20123,Non-metro counties,N,1
TX,"PLYMOUTH, IA",19149,Metro counties,N,1
TX,"MONTROSE, CO",08085,Non-metro counties,N,2
GA,"SEVIER, TN",47155,Non-metro counties,N,1
MT,"LE FLORE, OK",40079,Metro counties,N,1
KY,KS,,,Y,2
GA,"CLAY, MS",28025,Non-metro counties,N,1
AL,"FAYETTE, AL",17051,Non-metro counties,N,1
PR,UT,,,N,1
AR,"SANTA FE, NM",35049,Metro counties,N,1
IN,"HINDS, MS",28049,Metro counties,N,1
IN,"VENTURA, IN",06111,Metro counties,N,1
AR,"WOODFORD, IL",17203,Metro counties,N,1
TN,"KNOX, ID",,,N,1
PR,"LOWNDES, MS",28087,Non-metro counties,N,1
AL,"HARRISON, IN",18061,Metro counties,N,1
IN,"WAYNE, FL",,,N,1
GA,"PITT, NC",37147,Metro counties,N,1
NM,"SAN PATRICIO, TX",48409,Metro counties,N,3
TX,"CATOOSA, GA",13047,Metro counties,N,3
TX,"COLUMBIA, WI",55021,Metro counties,N,4
AL,"LANCASTER, NE",31109,Metro counties,N,1
IN,"HALL, GA",13139,Metro counties,N,1
VT,"GUADALUPE, TX",48187,Metro counties,N,1
AL,"MARION, TN",01093,Non-metro counties,N,1
AL,"LANCASTER, NE",31109,Metro counties,Y,1
GA,"GALVESTON, TX",48167,Metro counties,N,1
TN,"CAGUAS, PR",72025,,N,1
TN,"RENO, KS",20155,Non-metro counties,N,1
TX,"WESTMORELAND, PA",42129,Metro counties,N,1
IN,"OWEN, NE",,,N,1
TX,"LASSEN, CA",06035,Non-metro counties,N,1
TN,"INDIAN RIVER, FL",12061,Metro counties,Y,2
AL,"MARION, LA",01093,Non-metro counties,N,1
AR,"CHITTENDEN, VT",50007,Metro counties,N,1
AR,"FAYETTE, TN",47047,Metro counties,Y,2
TN,"NELSON, KY",21179,Non-metro counties,N,2
AR,"GALVESTON, TX",48167,Metro counties,Y,2
TN,"BUNCOMBE, NC",37021,Metro counties,Y,2
TN,"LEHIGH, PA",42077,Metro counties,N,2
TX,"LAPORTE, IN",18091,Metro counties,N,2
MT,"ISLAND, WA",53029,Non-metro counties,Y,1
TX,"LINCOLN, AR",05079,Metro counties,N,1
IN,"POPE, IL",17151,Non-metro counties,N,1
AR,"CALHOUN, IL",17013,Metro counties,N,1
TN,"DECATUR, KS",20039,Non-metro counties,N,1
AL,"RANDOLPH, GA",01111,Non-metro counties,N,1
MT,"OAKLAND, MI",26125,Metro counties,Y,2
FL,"MANATEE, TX",12081,Metro counties,Y,1
AR,"GIBSON, TN",47053,Non-metro counties,N,4
KY,"OLDHAM, IN",21185,Metro counties,N,2
TX,"ITAWAMBA, MS",28057,Non-metro counties,N,1
AR,"CLARK, WA",53011,Metro counties,N,2
TX,"HASKELL, OK",48207,Non-metro counties,N,1
IN,"BARTHOLOMEW, ID",,,N,2
TN,"SANTA ROSA, FL",12113,Metro counties,N,7
AL,"RAPIDES, LA",22079,Metro counties,N,4
NM,"ACADIA, LA",22001,Metro counties,N,1
PR,"LEHIGH, PA",42077,Metro counties,N,1
NM,"WASHINGTON, UT",49053,Metro counties,N,1
AL,"BEAVER, PA",42007,Metro counties,N,1
VT,"WARREN, NY",36113,Metro counties,N,3
VT,"GREENWOOD, SC",45047,Non-metro counties,N,1
TX,"BEXAR, PR",48029,Metro counties,N,1
IN,"RUTHERFORD, TN",47149,Metro counties,N,1
AR,"CALVERT, MD",24009,Metro counties,N,3
TN,"SHARP, AR",05135,Non-metro counties,N,1
AL,"GRATIOT, MI",26057,Non-metro counties,N,1
VT,"ROCKINGHAM, NH",33015,Metro counties,Y,2
MT,"RICE, MN",27131,Non-metro counties,N,1
IN,"HENDERSON, IN",21101,Metro counties,N,2
VT,"ANNE ARUNDEL, MD",24003,Metro counties,N,3
TX,"SARASOTA, FL",12115,Metro counties,N,16
TX,"LANCASTER, PA",42071,Metro counties,N,3
TN,"BOYD, KY",21019,Metro counties,N,2
TN,"HAWKINS, KY",47073,Metro counties,Y,1
TX,"GREENE, IN",18055,Non-metro counties,N,1
IN,"JACKSON, LA",22049,Non-metro counties,N,1
MT,"SAN MATEO, CA",06081,Metro counties,Y,1
VT,"PLYMOUTH, MA",25023,Metro counties,Y,1
TN,"ESTILL, KY",21065,Non-metro counties,Y,1
NM,"MARTIN, FL",12085,Metro counties,N,1
OR,VA,,,N,2
TN,"RANKIN, MS",28121,Metro counties,N,2
TX,"MADISON, AL",48313,Non-metro counties,N,4
AL,"GREENE, NC",37079,Non-metro counties,N,1
GA,"LIBERTY, FL",12077,Non-metro counties,N,2
AR,"ORLEANS PARISH, LA",,,N,2
TX,"SALINE, MO",29195,Non-metro counties,N,1
AR,"SOLANO, CA",06095,Metro counties,N,3
GA,AZ,,,Y,3
GU,OR,,,N,1
NM,"ADAMS, IN",18001,Non-metro counties,N,1
VT,"SUMMIT, NY",,,N,1
KY,"HARDIN, FL",21093,Metro counties,N,1
KY,AZ,,,N,2
NM,"OSCEOLA, MI",26133,Non-metro counties,N,1
MT,"ARLINGTON, VA",51013,Metro counties,N,1
AR,"BRYAN, OK",40013,Non-metro counties,Y,1
AR,"SCOTT, IA",19163,Metro counties,N,4
TX,"MARION, OH",39101,Non-metro counties,N,1
VT,"TOLLAND, VT",09013,Metro counties,N,3
AR,"IMPERIAL, CA",06025,Metro counties,N,1
IN,"ST JOSEPH, AZ",,,N,9
VT,"ARLINGTON, VT",51013,Metro counties,N,1
AR,"WYOMING, PA",42131,Metro counties,N,1
IN,"ALLEN, IL",,,Y,3
MT,"CHARLESTON, SC",45019,Metro counties,Y,2
IN,"KOSCIUSKO, GA",,,N,1
IN,"ALLEN, NH",,,Y,1
VT,"BRADLEY, TN",47011,Metro counties,N,1
PR,"KAUAI, HI",15007,Non-metro counties,Y,1
NM,"SACRAMENTO, CA",06067,Metro counties,N,2
AL,"PICKENS, OH",01107,Metro counties,N,1
OH,AL,,,N,1
VI,SD,,,N,1
TN,"HENRY, MD",,,N,1
FL,"HILLSBOROUGH, OH",12057,Metro counties,N,1
TX,"CATAWBA, NC",37035,Metro counties,N,1
IN,"HOWARD, MD",18067,Metro counties,N,1
IN,"ST JOSEPH, CA",,,Y,3
TN,"LORAIN, OH",39093,Metro counties,N,1
AR,"GARFIELD, OK",40047,Non-metro counties,Y,1
IN,"HARTFORD, CT",09003,Metro counties,N,1
NY,NY,,,N,10
TX,AL,,,Y,2
IN,"BERKELEY, SC",45015,Metro counties,N,2
TX,"POLK, WI",55095,Non-metro counties,N,1
TX,"CLARKE, MS",28023,Non-metro counties,N,4
IN,"JOHNSON, IA",19103,Metro counties,Y,1
TX,"OUACHITA, LA",22073,Metro counties,Y,1
OR,MO,,,N,4
AR,"CALCASIEU PARISH, LA",,,Y,2
GA,MN,,,Y,6
IN,"ALLEN, AL",,,N,1
AL,"OSAGE, MO",29151,Metro counties,N,1
AR,"HIGHLANDS, FL",12055,Metro counties,N,1
VT,"GRAND ISLE, MA",,,N,1
VT,"RUTLAND, PA",,,N,1
TN,"MONTGOMERY, WA",,,N,2
GA,"SALUDA, SC",45081,Metro counties,Y,3
NM,"SACRAMENTO, CA",06067,Metro counties,Y,1
TN,"DAVIDSON, IN",,,N,1
IN,"MARION, ME",,,N,1
OR,DC,,,N,3
TX,"BUENA VISTA, IA",19021,Non-metro counties,N,1
AR,"ST. CHARLES, MO",29183,Metro counties,Y,1
AL,"MORGAN, IL",17137,Non-metro counties,N,1
TX,"BERRIEN, GA",13019,Non-metro counties,N,1
IN,"MADISON, CO",,,Y,1
TX,MN,,,Y,3
KS,SC,,,Y,2
NM,"ST. LANDRY, LA",22097,Non-metro counties,N,1
GU,"SAIPAN MUNICIPALITY, GU",69110,,Y,1
CO,NE,,,N,2
IN,"WHITLEY, MI",,,N,1
AL,"CALUMET, WI",55015,Metro counties,N,1
TN,"CARROLL, NH",33003,Non-metro counties,N,2
KY,OR,,,N,3
TX,"WAUKESHA, WI",55133,Metro counties,N,5
AL,"ADAIR, KY",21001,Non-metro counties,N,1
IN,"HAMILTON, CA",,,Y,1
VT,"BERKELEY, SC",45015,Metro counties,N,1
TX,"COLUMBIA, PA",42037,Metro counties,N,2
TN,"ORANGE, NY",36071,Metro counties,Y,1
IN,"JEFFERSON, TN",47089,Metro counties,N,1
IN,"VIGO, AL",,,N,3
IN,"CLINTON, FL",,,Y,2
TN,"GREENE, NC",37079,Non-metro counties,N,1
IN,"PHILADELPHIA, IN",42101,Metro counties,N,2
PR,VA,,,N,2
VA,"CHESHIRE, NH",33005,Non-metro counties,N,1
AL,"SUFFOLK, AL",36103,Metro counties,N,3
VT,"JEFFERSON, PA",42065,Non-metro counties,N,1
NM,"MADISON, IA",19121,Metro counties,Y,1
AL,"COPIAH, MS",28029,Metro counties,N,1
MT,"ARAPAHOE, CO",08005,Metro counties,N,5
IN,"DEARBORN, MS",,,N,1
IN,"WARRICK, SC",,,N,1
TX,"GLOUCESTER, NJ",34015,Metro counties,Y,1
KS,"WILSON, TX",20205,Non-metro counties,Y,1
IN,"GRANT, MD",18053,Non-metro counties,N,2
TX,"HARRISON, WV",54033,Non-metro counties,N,2
IN,"JASPER, IL",17079,Non-metro counties,N,1
TX,"DALLAS, AL",01047,Non-metro counties,N,3
TN,"DIXIE, FL",12029,Non-metro counties,N,1
TX,"SMITH, TN",47159,Metro counties,N,1
AL,"COMAL, TX",48091,Metro counties,N,1
VI,NJ,,,Y,2
MT,"SAN DIEGO, CA",06073,Metro counties,Y,1
TN,"BANKS, GA",13011,Non-metro counties,Y,2
AL,"FLUVANNA, VA",51065,Metro counties,N,1
AL,"DALLAS, KS",01047,Non-metro counties,N,1
VT,"COLUMBIA, NY",36021,Non-metro counties,N,4
VT,"LANE, OR",41039,Metro counties,N,1
KY,"ROANE, TN",47145,Metro counties,N,1
NM,"UNION, NJ",34039,Metro counties,N,2
AR,"WHITFIELD, GA",13313,Metro counties,N,3
FL,"VOLUSIA, IL",12127,Metro counties,N,1
NM,"PULASKI, AR",05119,Metro counties,N,2
IN,"WASHINGTON, ID",16087,Non-metro counties,N,2
TN,"BOONE, IN",18011,Metro counties,N,3
FL,"VOLUSIA, MA",12127,Metro counties,N,1
TN,"LUZERNE, PA",42079,Metro counties,N,1
TX,"IBERVILLE, LA",22047,Metro counties,N,2
TN,"BUTLER, KY",21031,Metro counties,Y,1
GA,"FREDERICK, MD",24021,Metro counties,N,1
KY,"MADISON, IN",18095,Metro counties,N,1
PR,"ST. MARY'S, MD",24037,Metro counties,N,1
AL,"HARDIN, TN",47071,Non-metro counties,N,2
PR,"NORTHAMPTON, PA",42095,Metro counties,Y,1
TN,"SPARTANBURG, SC",45083,Metro counties,Y,1
VT,"HILLSBOROUGH, FL",12057,Metro counties,N,3
IN,"ALLEN, VA",,,N,2
AL,"ANDERSON, AL",47001,Metro counties,N,2
IN,"ST JOSEPH, OR",,,N,1
NM,"ROBERTSON, TX",48395,Metro counties,N,1
IN,"BARTHOLOMEW, IA",,,N,1
VI,MD,,,Y,1
IN,"VANDERBURGH, FL",,,Y,2
IN,"GRANT, OH",,,N,1
AR,"WALTHALL, AR",,,N,2
VT,PA,,,N,4
NM,"BAYFIELD, WI",55007,Non-metro counties,Y,1
AL,"HAYS, AL",48209,Metro counties,N,2
MT,"MERCER, PA",42085,Metro counties,N,1
IN,"MADISON, FL",12079,Non-metro counties,Y,1
SC,"GRANVILLE, NC",37077,Non-metro counties,N,2
MT,"TULSA, OK",40143,Metro counties,N,2
AL,"KINNEY, TX",48271,Non-metro counties,N,1
TX,"MORRIS, NJ",48343,Non-metro counties,N,4
IN,"TULSA, OK",40143,Metro counties,N,3
KY,"MADISON, GA",21151,Non-metro counties,N,3
IN,"DELAWARE, TX",,,N,3
IN,"ELKHART, WA",,,N,2
NM,"MORRIS, TX",48343,Non-metro counties,N,1
TN,"CALHOUN, AL",01015,Metro counties,N,2
MT,"ADAMS, CO",08001,Metro counties,N,1
KS,WV,,,N,1
TN,"MUHLENBERG, KY",21177,Non-metro counties,Y,6
TN,"COLUMBIA, OR",41009,Metro counties,Y,1
MT,"ADAMS, CO",08001,Metro counties,Y,1
FL,"POLK, AR",12105,Metro counties,N,1
AL,"RICHLAND, AL",45079,Metro counties,N,3
KY,"BUTLER, KS",20015,Metro counties,Y,1
IN,"MARSHALL, FL",18099,Non-metro counties,N,1
TN,"VERNON, LA",22115,Non-metro counties,Y,1
AL,"BALDWIN, WI",01003,Metro counties,Y,1
KY,"PIKE, KY",42103,Metro counties,Y,1
PR,"LAKE, MN",27075,Non-metro counties,N,1
AR,"AVOYELLES PARISH, AR",,,N,1
AR,"GREENE, MO",29077,Metro counties,Y,4
TX,"ALBANY, WY",56001,Non-metro counties,N,1
FL,"LEE, VA",12071,Metro counties,N,2
VT,"ALLEGANY, NY",36003,Non-metro counties,Y,2
TX,"VINTON, OH",39163,Non-metro counties,N,1
AL,"HARDIN, TN",47071,Non-metro counties,Y,1
IN,"WILL, IL",17197,Metro counties,Y,2
TN,"HAMILTON, KY",47065,Metro counties,N,1
AL,"MUSKEGON, MI",26121,Metro counties,N,1
KS,"BUTLER, OH",20015,Metro counties,N,1
TN,"CASEY, KY",21045,Non-metro counties,N,1
VT,"FULTON, GA",13121,Metro counties,N,3
GA,"KENTON, KY",21117,Metro counties,N,1
AL,"RICHLAND, OH",39139,Metro counties,N,1
TN,"LAPEER, MI",26087,Metro counties,Y,1
TX,"LENOIR, NC",37107,Non-metro counties,N,2
TX,"COLLIN, MS",48085,Metro counties,N,1
TX,"SHELBY, IN",18145,Metro counties,N,3
TX,"STONE, AR",05137,Non-metro counties,N,2
AL,"SOMERSET, AL",24039,Metro counties,N,1
GA,"NASH, NC",37127,Metro counties,Y,1
AL,"LOWNDES, FL",01085,Metro counties,N,1
MT,"CLINTON, MI",26037,Metro counties,N,1
AR,"CUSTER, MT",30017,Non-metro counties,N,1
IN,"MORGAN, GA",13211,Metro counties,Y,1
GA,"GREENWOOD, SC",45047,Non-metro counties,Y,5
TX,"TRANSYLVANIA, NC",37175,Non-metro counties,N,1
TN,"RAMSEY, MN",27123,Metro counties,N,2
TX,"YORK, SC",45091,Metro counties,N,5
TX,"EFFINGHAM, GA",13103,Metro counties,N,3
AL,"SEVIER, AL",47155,Non-metro counties,N,1
AL,"STAFFORD, VA",51179,Metro counties,N,1
MT,"KAUFMAN, TX",48257,Metro counties,Y,1
AL,"HARRIS, GA",13145,Metro counties,N,1
TX,"UNALLOCATED MISSOURI, MO",29000,,N,2
VT,"SUSQUEHANNA, PA",42115,Non-metro counties,Y,1
IN,"MADISON, CO",,,N,1
IN,"PORTER, CA",,,N,3
IN,"KNOX, NC",,,Y,2
SC,"HERTFORD, NC",37091,Non-metro counties,N,1
KY,NY,,,Y,1
IN,"ALLEN, CO",,,Y,1
IN,"PORTER, PA",,,N,1
TN,"CRAIGHEAD, TN",,,N,3
TN,"MONTGOMERY, IN",18107,Non-metro counties,N,1
IN,"TIPPECANOE, OR",,,N,1
GA,"HENRY, AL",01067,Metro counties,N,2
CO,"ALAMOSA, CA",08003,Non-metro counties,N,1
VT,"MONTGOMERY, VT",24031,Metro counties,N,1
TX,"TOOELE, UT",49045,Metro counties,N,1
VT,"WALDO, ME",23027,Non-metro counties,N,1
TN,"LAMAR, TN",,,N,1
TN,"ST. JOHNS, FL",12109,Metro counties,N,4
NM,"DAVIS, UT",49011,Metro counties,N,5
AL,"JOHNSON, MS",47091,Non-metro counties,N,1
TX,"COOK, TX",17031,Metro counties,N,1
VT,"GWINNETT, GA",13135,Metro counties,N,1
IN,"DELAWARE, WI",,,N,2
TN,"JEFFERSON, NY",36045,Metro counties,N,3
MP,WA,,,Y,1
IN,"ELKHART, OH",,,N,2
SC,"CLEVELAND, NC",37045,Non-metro counties,N,4
IN,"MARION, VT",,,Y,1
IN,"MONROE, MN",,,N,3
AL,NY,,,N,1
OR,PA,,,N,5
VT,"SAINT LAWRENCE, VT",,,N,1
AL,"MURRAY, AL",13213,Metro counties,N,6
GA,"MONTGOMERY, PA",42091,Metro counties,N,2
AL,"EFFINGHAM, GA",13103,Metro counties,Y,1
MT,"STANISLAUS, CA",06099,Metro counties,N,2
TN,"UNALLOCATED MICHIGAN, MI",26000,,N,1
MT,"JOSEPHINE, OR",41033,Metro counties,N,2
IN,"VANDERBURGH, TN",18163,Metro counties,N,1
NM,"PONTOTOC, OK",40123,Non-metro counties,Y,1
MT,"LYON, NV",32019,Non-metro counties,Y,1
IN,"LUCAS, OH",39095,Metro counties,N,2
AR,"ADAMS, MS",28001,Non-metro counties,N,1
MT,"SANTA CRUZ, CA",06087,Metro counties,Y,1
VT,"FAIRFIELD, CT",09001,Metro counties,Y,5
TN,"COLLIN, TX",48085,Metro counties,Y,3
TX,"KITTITAS, WA",53037,Non-metro counties,N,2
TN,"MADISON, TN",21151,Non-metro counties,Y,1
GA,"PUTNAM, FL",12107,Non-metro counties,N,1
MT,"MONTGOMERY, NY",36057,Non-metro counties,N,1
KY,"LYON, KS",20111,Non-metro counties,N,1
AL,"DEKALB, AK",01049,Non-metro counties,N,1
IN,"JAY, TN",,,N,1
TN,"MILLER, AR",05091,Metro counties,N,1
TN,"SCHENECTADY, NY",36093,Metro counties,Y,1
IN,"SWITZERLAND, KY",,,N,1
TN,"POLK, OR",41053,Metro counties,N,1
IN,"STEUBEN, MO",,,N,1
GA,"CHARLESTON, SC",45019,Metro counties,N,1
TN,"UNION, NJ",34039,Metro counties,N,2
IN,"KNOX, GA",,,N,1
KY,"HARDIN, IL",17069,Non-metro counties,Y,1
MT,"LINCOLN, WA",53043,Non-metro counties,Y,1
FL,"PALM BEACH, NY",12099,Metro counties,Y,6
TN,"SAN JUAN, PR",72127,,N,1
VT,"MONROE, PA",42089,Metro counties,N,1
FL,"VOLUSIA, DE",12127,Metro counties,N,1
IN,"ALLEN, TX",,,Y,1
AL,"PRESIDIO, AL",48377,Non-metro counties,N,1
GA,"GUILFORD, NC",37081,Metro counties,Y,1
AL,"PERRY, KY",21193,Non-metro counties,N,1
TX,"SOCORRO, NM",35053,Non-metro counties,N,2
MD,"CAROLINE, VA",51033,Metro counties,N,1
MT,"FREMONT, CO",08043,Non-metro counties,N,1
AL,"MONTGOMERY, NC",01101,Metro counties,N,1
AL,"MONTGOMERY, GA",13209,Non-metro counties,N,1
AL,"YORK, AL",45091,Metro counties,N,2
TN,"WAUSHARA, WI",55137,Non-metro counties,N,1
TN,"JEFFERSON, MS",28063,Non-metro counties,N,1
AL,"HENDERSON, KY",21101,Metro counties,N,1
TX,"COLES, IL",17029,Non-metro counties,Y,1
MT,"LARIMER, CO",08069,Metro counties,Y,1
TN,"BUCHANAN, VA",51027,Non-metro counties,Y,1
NM,"NEWTON, MS",28101,Non-metro counties,N,1
TX,"CHEROKEE, GA",48073,Non-metro counties,N,2
AL,"ANDERSON, SC",45007,Metro counties,N,2
TN,"BOLLINGER, MO",29017,Metro counties,N,1
TN,"HEARD, GA",13149,Metro counties,N,1
AR,"DUNKLIN, OK",,,N,1
PR,"CONTRA COSTA, CA",06013,Metro counties,N,1
