"Notes	""State of Residence""	""State of Residence Code""	""County of Residence""	""County of Residence Code""	""Mother's Pre-pregnancy BMI""	""Mother's Pre-pregnancy BMI Code""	""Pre-pregnancy Hypertension""	""Pre-pregnancy Hypertension Code""	""Year""	""Year Code""	Births"
" AK""	""02999""	""Underweight <18.5""	""1""	""No""	""2""	""2020""	""2020""	12"
" AK""	""02999""	""Underweight <18.5""	""1""	""No""	""2""	""2021""	""2021""	12"
" AK""	""02999""	""Normal 18.5-24.9""	""2""	""No""	""2""	""2020""	""2020""	209"
" AK""	""02999""	""Normal 18.5-24.9""	""2""	""No""	""2""	""2021""	""2021""	250"
" AK""	""02999""	""Overweight 25.0-29.9""	""3""	""No""	""2""	""2020""	""2020""	154"
" AK""	""02999""	""Overweight 25.0-29.9""	""3""	""No""	""2""	""2021""	""2021""	178"
" AZ""	""04003""	""Normal 18.5-24.9""	""2""	""No""	""2""	""2020""	""2020""	69"
" AZ""	""04003""	""Normal 18.5-24.9""	""2""	""No""	""2""	""2021""	""2021""	54"
" AZ""	""04003""	""Overweight 25.0-29.9""	""3""	""No""	""2""	""2020""	""2020""	47"
" AZ""	""04003""	""Overweight 25.0-29.9""	""3""	""No""	""2""	""2021""	""2021""	44"
" AZ""	""04005""	""Normal 18.5-24.9""	""2""	""No""	""2""	""2020""	""2020""	73"
" AZ""	""04005""	""Normal 18.5-24.9""	""2""	""No""	""2""	""2021""	""2021""	77"
" AZ""	""04005""	""Overweight 25.0-29.9""	""3""	""No""	""2""	""2020""	""2020""	71"
" AZ""	""04005""	""Overweight 25.0-29.9""	""3""	""No""	""2""	""2021""	""2021""	67"
" AZ""	""04013""	""Underweight <18.5""	""1""	""No""	""2""	""2020""	""2020""	297"
" AZ""	""04013""	""Underweight <18.5""	""1""	""No""	""2""	""2021""	""2021""	319"
" AZ""	""04013""	""Normal 18.5-24.9""	""2""	""Yes""	""1""	""2020""	""2020""	11"
" AZ""	""04013""	""Normal 18.5-24.9""	""2""	""Yes""	""1""	""2021""	""2021""	20"
" AZ""	""04013""	""Normal 18.5-24.9""	""2""	""No""	""2""	""2020""	""2020""	3146"
" AZ""	""04013""	""Normal 18.5-24.9""	""2""	""No""	""2""	""2021""	""2021""	3436"
" AZ""	""04013""	""Overweight 25.0-29.9""	""3""	""Yes""	""1""	""2020""	""2020""	27"
" AZ""	""04013""	""Overweight 25.0-29.9""	""3""	""Yes""	""1""	""2021""	""2021""	21"
" AZ""	""04013""	""Overweight 25.0-29.9""	""3""	""No""	""2""	""2020""	""2020""	2466"
" AZ""	""04013""	""Overweight 25.0-29.9""	""3""	""No""	""2""	""2021""	""2021""	2682"
" AZ""	""04015""	""Underweight <18.5""	""1""	""No""	""2""	""2020""	""2020""	20"
" AZ""	""04015""	""Underweight <18.5""	""1""	""No""	""2""	""2021""	""2021""	15"
" AZ""	""04015""	""Normal 18.5-24.9""	""2""	""No""	""2""	""2020""	""2020""	130"
" AZ""	""04015""	""Normal 18.5-24.9""	""2""	""No""	""2""	""2021""	""2021""	142"
" AZ""	""04015""	""Overweight 25.0-29.9""	""3""	""No""	""2""	""2020""	""2020""	69"
" AZ""	""04015""	""Overweight 25.0-29.9""	""3""	""No""	""2""	""2021""	""2021""	106"
" AZ""	""04017""	""Normal 18.5-24.9""	""2""	""No""	""2""	""2020""	""2020""	87"
" AZ""	""04017""	""Normal 18.5-24.9""	""2""	""No""	""2""	""2021""	""2021""	83"
" AZ""	""04017""	""Overweight 25.0-29.9""	""3""	""No""	""2""	""2020""	""2020""	67"
" AZ""	""04017""	""Overweight 25.0-29.9""	""3""	""No""	""2""	""2021""	""2021""	94"
" AZ""	""04019""	""Underweight <18.5""	""1""	""No""	""2""	""2020""	""2020""	49"
" AZ""	""04019""	""Underweight <18.5""	""1""	""No""	""2""	""2021""	""2021""	53"
" AZ""	""04019""	""Normal 18.5-24.9""	""2""	""No""	""2""	""2020""	""2020""	500"
